ano;cod_ibge;n_fam_rua
2023;3524303;190
2023;3524402;251
2023;3524501;8
2023;3524600;21
2023;3524709;59
2023;3524808;56
2023;3524907;0
2023;3525003;111
2023;3525102;56
2023;3525201;22
2023;3525300;291
2023;3525409;0
2023;3525508;9
2023;3525607;0
2023;3525706;43
2023;3525805;0
2023;3525854;1
2023;3525904;273
2023;3526001;7
2023;3526100;31
2023;3526209;53
2023;3526308;0
2023;3526407;26
2023;3526506;0
2023;3526605;0
2023;3526704;104
2023;3526803;96
2023;3526902;319
2023;3527009;1
2023;3527108;106
2023;3527207;132
2023;3527256;0
2023;3527306;50
2023;3527405;0
2023;3527504;0
2023;3527603;0
2023;3527702;0
2023;3527801;0
2023;3527900;0
2023;3528007;19
2023;3528106;1
2023;3528205;0
2023;3528304;0
2023;3528403;6
2023;3528502;115
2023;3528601;1
2023;3528700;0
2023;3528809;0
2023;3528858;0
2023;3528908;0
2023;3529005;352
2023;3529104;0
2023;3529203;3
2023;3529302;161
2023;3529401;227
2023;3529500;0
2023;3529609;0
2023;3529658;0
2023;3529708;2
2023;3529807;0
2023;3529906;18
2023;3530003;0
2023;3530102;14
2023;3530201;2
2023;3530300;90
2023;3530409;0
2023;3530508;103
2023;3530607;599
2023;3530706;212
2023;3530805;188
2023;3530904;0
2023;3531001;0
2023;3531100;148
2023;3531209;1
2023;3531308;97
2023;3531407;16
2023;3531506;4
2023;3531605;0
2023;3531704;0
2023;3531803;33
2023;3531902;35
2023;3532009;4
2023;3532058;0
2023;3532108;0
2023;3532157;0
2023;3532207;2
2023;3532306;0
2023;3532405;7
2023;3532504;0
2023;3532603;0
2023;3532702;0
2023;3532801;0
2023;3532827;0
2023;3532843;0
2023;3532868;0
2023;3532900;2
2023;3533007;37
2023;3533106;0
2023;3533205;0
2023;3533254;0
2023;3533304;0
2023;3533403;96
2023;3533502;8
2023;3533601;0
2023;3533700;1
2023;3533809;1
2023;3533908;76
2023;3534005;0
2023;3534104;0
2023;3534203;2
2023;3534302;31
2023;3534401;1322
2023;3534500;1
2023;3534609;13
2023;3534708;318
2023;3534757;6
2023;3534807;3
2023;3534906;0
2023;3535002;0
2023;3535101;1
2023;3535200;0
2023;3535309;13
2023;3535408;16
2023;3535507;21
2023;3535606;5
2023;3535705;2
2023;3535804;9
2023;3535903;0
2023;3536000;2
2023;3536109;2
2023;3536208;27
2023;3536257;1
2023;3536307;3
2023;3536406;6
2023;3536505;218
2023;3536570;1
2023;3536604;0
2023;3536703;45
2023;3536802;0
2023;3536901;0
2023;3537008;6
2023;3537107;69
2023;3537156;0
2023;3537206;3
2023;3537305;130
2023;3537404;11
2023;3537503;1
2023;3537602;150
2023;3537701;0
2023;3537800;176
2023;3537909;12
2023;3538006;203
2023;3538105;7
2023;3538204;4
2023;3538303;0
2023;3538501;2
2023;3538600;22
2023;3538709;638
2023;3538808;11
2023;3538907;25
2023;3539004;4
2023;3539103;6
2023;3539202;5
2023;3539301;113
2023;3539400;15
2023;3539509;15
2023;3539608;1
2023;3539707;0
2023;3539806;219
2023;3539905;0
2023;3540002;0
2023;3540101;0
2023;3540200;40
2023;3540259;1
2023;3540309;0
2023;3540408;1
2023;3540507;0
2023;3540606;121
2023;3540705;145
2023;3540754;1
2023;3540804;2
2023;3540853;0
2023;3540903;7
2023;3541000;532
2023;3541059;1
2023;3541109;0
2023;3541208;0
2023;3541307;30
2023;3541406;437
2023;3541505;13
2023;3541604;21
2023;3541653;0
2023;3541703;8
2023;3541802;0
2023;3541901;0
2023;3542008;0
2023;3542107;1
2023;3542206;12
2023;3542305;0
